path	primary_phase	secondary_phases	disposition	evidence_refs	findings_refs	notes
.dockerignore	03	20	unreviewed			initial path-based assignment; confirm during phase 00
.gitattributes	01	20	unreviewed			initial path-based assignment; confirm during phase 00
.github/CODEOWNERS	20	01,04	unreviewed			initial path-based assignment; confirm during phase 00
.github/ISSUE_TEMPLATE/bug.yml	20	01,04	unreviewed			initial path-based assignment; confirm during phase 00
.github/ISSUE_TEMPLATE/config.yml	20	01,04	unreviewed			initial path-based assignment; confirm during phase 00
.github/ISSUE_TEMPLATE/feature.yml	20	01,04	unreviewed			initial path-based assignment; confirm during phase 00
.github/dependabot.yml	20	01,04	unreviewed			initial path-based assignment; confirm during phase 00
.github/labeler.yml	20	01,04	unreviewed			initial path-based assignment; confirm during phase 00
.github/pull_request_template.md	20	01,04	unreviewed			initial path-based assignment; confirm during phase 00
.github/workflows/ci.yml	20	01,04	unreviewed			initial path-based assignment; confirm during phase 00
.github/workflows/codeql.yml	20	01,04	unreviewed			initial path-based assignment; confirm during phase 00
.github/workflows/e2e-real.yml	20	01,04	unreviewed			initial path-based assignment; confirm during phase 00
.github/workflows/pr-automation.yml	20	01,04	unreviewed			initial path-based assignment; confirm during phase 00
.github/workflows/pr-review.yml	20	01,04	unreviewed			initial path-based assignment; confirm during phase 00
.gitignore	01	20	unreviewed			initial path-based assignment; confirm during phase 00
.gitleaks.toml	20	17	unreviewed			initial path-based assignment; confirm during phase 00
.husky/commit-msg	01	20	unreviewed			initial path-based assignment; confirm during phase 00
.husky/pre-commit	01	20	unreviewed			initial path-based assignment; confirm during phase 00
.husky/pre-push	01	20	unreviewed			initial path-based assignment; confirm during phase 00
.npmrc	04	03,20	unreviewed			initial path-based assignment; confirm during phase 00
.prettierrc	03	18,20	unreviewed			initial path-based assignment; confirm during phase 00
AGENTS.md	21	01,02	unreviewed			initial path-based assignment; confirm during phase 00
CHANGELOG.md	21	01,02	unreviewed			initial path-based assignment; confirm during phase 00
CLAUDE.md	21	01,02	unreviewed			initial path-based assignment; confirm during phase 00
CODE_OF_CONDUCT.md	21	01,02	unreviewed			initial path-based assignment; confirm during phase 00
CONTRIBUTING.md	21	01,02	unreviewed			initial path-based assignment; confirm during phase 00
LICENSE	21	01,02	unreviewed			initial path-based assignment; confirm during phase 00
README.md	21	01,02	unreviewed			initial path-based assignment; confirm during phase 00
SECURITY.md	21	01,02	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/.env.example	03	05,11,18,20	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/AGENTS.md	03	05,11,18,20	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/Dockerfile	03	05,11,18,20	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/README.md	03	05,11,18,20	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/buf.gen.yaml	03	05,11,18,20	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/drizzle.config.ts	03	05,11,18,20	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/fly.toml	03	05,11,18,20	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/package.json	03	05,11,18,20	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/proto/clustering.proto	03	05,11,18,20	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__fixtures__/ctx/README.md	03	05,11,18,20	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__fixtures__/ctx/create-order-response.json	03	05,11,18,20	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__fixtures__/ctx/get-order-response.json	03	05,11,18,20	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__fixtures__/ctx/list-orders-response.json	03	05,11,18,20	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__fixtures__/ctx/merchant-item.json	03	05,11,18,20	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__fixtures__/ctx/merchants-list-response.json	03	05,11,18,20	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__fixtures__/ctx/refresh-token-response.json	03	05,11,18,20	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__fixtures__/ctx/verify-otp-response.json	03	05,11,18,20	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__tests__/bigint-money-property.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__tests__/circuit-breaker.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__tests__/ctx-contract.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__tests__/discord.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__tests__/env.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__tests__/integration/admin-writes.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__tests__/integration/asset-drift-watcher.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__tests__/integration/cashback-history.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__tests__/integration/db-test-setup.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__tests__/integration/flywheel.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__tests__/integration/payment-watcher.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__tests__/integration/payout-worker.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__tests__/integration/procurement-worker.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__tests__/integration/vitest-integration-setup.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__tests__/kill-switches.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__tests__/logger.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__tests__/openapi-error-code.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__tests__/request-context.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__tests__/routes.integration.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__tests__/runtime-health.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__tests__/sentry-scrubber.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__tests__/slugs.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__tests__/trust-proxy-trusted.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__tests__/trust-proxy.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__tests__/upstream-body-scrub.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__tests__/upstream.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/__tests__/vitest-env-setup.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/asset-circulation.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/asset-drift-state.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
