path	primary_phase	review_dimension	disposition	notes
docs/audit-2026-05-03-claude/README.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/admin-handoff.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/checklist.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/evidence/README.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/evidence/phase-00-inventory/notes.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/evidence/phase-01-governance/notes.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/evidence/phase-02-architecture/notes.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/evidence/phase-03-build-release/notes.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/evidence/phase-04-dependencies/notes.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/evidence/phase-05-backend-lifecycle/notes.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/evidence/phase-06-auth-identity/notes.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/evidence/phase-07-admin/notes.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/evidence/phase-08-public-api/notes.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/evidence/phase-09-orders/notes.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/evidence/phase-10-payments-payouts/notes.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/evidence/phase-11-data-migrations/notes.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/evidence/phase-12-financial-invariants/notes.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
